timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,pressure,altitude
1772651329514,0.184354,-0.117316,9.830592,0.000533,-0.008522,-0.002131,-24.12,-10.80,-26.34,,
1772651329522,0.184354,-0.117316,9.830592,0.000533,-0.008522,-0.002131,-24.12,-10.80,-26.34,,
1772651329534,0.160412,-0.102951,9.794679,0.000533,-0.008522,-0.002131,-24.12,-10.80,-26.34,,
1772651329539,0.150835,-0.043096,9.789890,0.000533,-0.008522,-0.002131,-24.12,-10.80,-26.34,,
1772651329549,0.146046,-0.071826,9.792285,0.000533,-0.008522,-0.002131,-23.46,-10.62,-26.34,,
1772651329559,0.138864,-0.126893,9.770737,0.000533,-0.008522,-0.002131,-23.58,-10.68,-26.52,,
1772651329569,0.134075,-0.186748,9.804255,0.000533,-0.008522,-0.002131,-24.00,-11.40,-26.64,,
1772651329582,0.141258,-0.181959,9.823410,0.000533,-0.008522,-0.002131,-24.24,-11.10,-26.70,,
1772651329589,0.158017,-0.138864,9.806650,0.002663,0.003728,0.003196,-24.18,-11.22,-26.52,,
1772651329599,0.155623,-0.079009,9.794679,0.003728,0.005859,0.003196,-24.18,-10.68,-26.40,,
1772651329610,0.169988,-0.059855,9.782708,-0.001065,-0.002663,-0.002131,-23.22,-10.68,-26.22,,
1772651329621,0.169988,-0.083797,9.797073,-0.001065,-0.003728,-0.003728,-22.86,-10.80,-26.10,,
1772651329629,0.148441,-0.141258,9.794679,-0.000533,-0.004794,-0.002663,-22.50,-10.80,-25.86,,
1772651329639,0.146046,-0.184354,9.821015,-0.001065,-0.005326,-0.001598,-22.80,-10.74,-26.34,,
1772651329649,0.155623,-0.167594,9.816227,0.001065,0.002131,0.002131,-23.52,-10.74,-26.88,,
1772651329659,0.167594,-0.126893,9.801862,0.002663,0.003728,0.001598,-23.88,-10.86,-27.96,,
1772651329669,0.174777,-0.083797,9.804255,0.002131,0.003728,0.001598,-24.24,-10.80,-28.20,,
1772651329680,0.177171,-0.059855,9.789890,0.002663,0.000000,0.001065,-24.24,-11.16,-28.44,,
1772651329689,0.174777,-0.071826,9.809045,0.000533,0.000000,-0.001065,-24.18,-10.80,-28.26,,
1772651329699,0.150835,-0.126893,9.809045,-0.001065,-0.002131,-0.001065,-23.22,-10.86,-27.36,,
1772651329709,0.136469,-0.153229,9.804255,-0.000533,-0.001065,-0.000533,-22.92,-10.44,-27.78,,
1772651329719,0.126893,-0.169988,9.809045,0.000533,0.000533,0.001598,-22.80,-10.56,-27.96,,
1772651329729,0.129287,-0.150835,9.782708,0.000000,0.001065,0.003196,-22.74,-10.74,-28.50,,
1772651329739,0.148441,-0.083797,9.801862,0.000533,0.001065,0.001598,-23.40,-10.86,-28.50,,
1772651329749,0.158017,-0.071826,9.787497,0.001065,-0.001065,-0.000533,-23.58,-11.04,-28.50,,
1772651329759,0.153229,-0.071826,9.787497,-0.000533,-0.001065,-0.002131,-24.00,-11.52,-27.96,,
1772651329769,0.155623,-0.146046,9.816227,-0.002663,-0.005859,-0.001598,-23.82,-11.64,-27.54,,
1772651329781,0.155623,-0.146046,9.816227,-0.002663,-0.005859,-0.001598,-23.82,-11.64,-27.54,,
1772651329789,0.148441,-0.160412,9.763555,-0.000533,-0.002131,0.002131,-23.70,-10.98,-28.20,,
1772651329799,0.136469,-0.148441,9.825804,0.000533,0.001065,0.002131,-23.82,-10.44,-28.50,,
1772651329809,0.153229,-0.117316,9.866506,0.002663,0.004794,0.002131,-23.70,-10.02,-28.68,,
1772651329819,0.198719,-0.079009,9.801862,-0.002131,-0.002663,0.000533,-23.34,-10.14,-28.44,,
1772651329830,0.229843,-0.100556,9.792285,-0.001065,-0.006924,-0.002131,-23.40,-10.56,-27.72,,
1772651329839,0.205901,-0.136469,9.806650,-0.001065,-0.007989,-0.003728,-23.52,-10.98,-28.08,,
1772651329849,0.136469,-0.203507,9.842564,0.005326,0.006392,-0.002663,-23.94,-10.86,-28.14,,
1772651329859,0.136469,-0.213084,9.832987,0.006924,0.008522,-0.001065,-23.58,-10.32,-28.80,,
1772651329872,0.136469,-0.189142,9.734824,0.006392,0.005326,-0.000533,-23.34,-10.14,-28.56,,
1772651329880,0.114922,-0.143652,9.734824,0.005859,0.001598,0.000533,-23.46,-10.68,-28.32,,
1772651329889,0.105345,-0.093374,9.825804,0.006392,0.001598,0.000533,-23.16,-10.26,-28.44,,
1772651329899,0.136469,-0.009577,9.746795,0.002663,0.001065,0.001598,-23.70,-10.62,-28.80,,
1772651329911,0.158017,-0.033519,9.742006,-0.001598,-0.004794,-0.000533,-23.82,-10.62,-29.04,,
