timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,pressure,altitude
1772651353748,0.131681,-0.076614,9.828198,-0.004794,0.001065,0.004794,-24.36,-4.02,-23.16,,
1772651353753,0.098162,-0.160412,9.813833,-0.005326,0.000533,0.003196,-24.36,-4.02,-23.16,,
1772651353765,0.098162,-0.160412,9.813833,-0.005326,0.000533,0.003196,-24.36,-4.02,-23.16,,
1772651353774,0.055067,-0.265756,9.816227,-0.005326,0.000533,0.003196,-24.30,-4.26,-23.28,,
1772651353783,0.067038,-0.239420,9.749189,-0.005326,0.000533,0.003196,-25.14,-3.60,-24.72,,
1772651353793,0.093374,-0.162806,9.794679,-0.005326,0.000533,0.003196,-24.18,-3.54,-24.90,,
1772651353803,0.172383,0.038307,9.825804,-0.005326,0.000533,0.003196,-23.04,-4.02,-25.14,,
1772651353813,0.196325,0.090980,9.854534,0.003196,-0.000533,-0.001598,-23.16,-4.38,-25.26,,
1772651353825,0.210690,0.071826,9.799467,0.001598,-0.003196,-0.001598,-23.76,-4.50,-25.38,,
1772651353833,0.217872,0.009577,9.768343,-0.002131,-0.007989,-0.003196,-23.58,-4.14,-25.02,,
1772651353843,0.160412,-0.079009,9.852140,-0.002131,0.002131,0.000000,-23.28,-3.54,-25.32,,
1772651353853,0.134075,-0.090980,9.835381,-0.000533,0.010653,0.002663,-23.10,-3.72,-24.72,,
1772651353864,0.112527,-0.098162,9.758766,-0.001065,0.009587,0.003728,-23.16,-4.26,-24.72,,
1772651353874,0.105345,-0.074220,9.746795,-0.002131,0.004261,0.002131,-23.46,-4.44,-24.24,,
1772651353883,0.083797,-0.069432,9.789890,-0.001065,0.001065,0.001598,-23.46,-4.44,-23.82,,
1772651353893,0.064643,-0.098162,9.801862,-0.000533,0.000000,-0.001065,-23.88,-4.50,-23.76,,
1772651353903,0.069432,-0.150835,9.732430,-0.000533,-0.004794,-0.002663,-23.76,-4.26,-23.64,,
1772651353923,0.071826,-0.148441,9.789890,0.002663,-0.007457,-0.000533,-24.06,-4.56,-23.58,,
1772651353927,0.136469,-0.088585,9.785102,0.001598,-0.003196,0.002663,-24.06,-4.38,-23.82,,
1772651353934,0.136469,-0.088585,9.785102,0.001598,-0.003196,0.002663,-24.06,-4.38,-23.82,,
1772651353943,0.174777,0.026336,9.864111,0.001598,-0.001598,-0.000533,-24.36,-4.32,-24.12,,
1772651353953,0.196325,0.028730,9.782708,-0.000533,-0.002663,-0.000533,-23.94,-4.56,-24.24,,
1772651353964,0.160412,-0.064643,9.823410,-0.002131,-0.002131,0.000000,-23.52,-4.62,-24.54,,
1772651353975,0.124498,-0.079009,9.835381,-0.002663,0.001598,-0.000533,-23.82,-4.56,-25.20,,
