timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,pressure,altitude
1772665907652,-0.045490,0.057461,-9.797073,-0.001065,-0.001065,0.000000,15.48,21.30,30.60,,
1772665907696,-0.047884,0.047884,-9.806650,-0.001065,-0.001065,0.000000,16.80,21.96,29.88,,
1772665907746,-0.052672,0.064643,-9.787497,0.001065,-0.000533,0.000533,16.50,21.96,30.66,,
1772665907796,-0.045490,0.055067,-9.789890,0.000533,0.001065,0.000533,16.20,21.96,30.18,,
1772665907846,-0.047884,0.059855,-9.797073,-0.000533,0.000533,0.000000,15.60,21.12,30.30,,
1772665907896,-0.031125,0.062249,-9.794679,0.000000,0.000000,0.001065,15.66,21.36,29.58,,
1772665907947,-0.040701,0.059855,-9.794679,0.001065,-0.001598,0.000533,15.30,21.24,30.42,,
1772665907996,-0.047884,0.045490,-9.785102,-0.000533,-0.002131,0.001065,15.06,21.24,30.54,,
1772665908046,-0.033519,0.057461,-9.797073,0.002131,-0.001598,0.000000,15.12,21.00,31.20,,
1772665908096,-0.040701,0.062249,-9.804255,0.001598,0.000000,0.000533,15.84,20.82,30.66,,
1772665908146,-0.035913,0.062249,-9.792285,0.001065,-0.000533,0.001065,16.14,21.00,31.32,,
1772665908196,-0.040701,0.071826,-9.797073,0.000000,0.000533,0.000000,15.96,20.70,31.02,,
1772665908246,-0.043096,0.057461,-9.799467,-0.000533,0.000000,-0.000533,15.72,20.82,31.08,,
1772665908296,-0.043096,0.055067,-9.787497,0.000533,0.002131,0.001065,15.90,20.88,30.24,,
1772665908347,-0.040701,0.057461,-9.818622,0.000000,-0.002131,0.000000,16.20,21.24,30.48,,
1772665908397,-0.035913,0.050278,-9.792285,0.000533,-0.000533,0.000000,15.54,21.36,30.00,,
1772665908447,-0.038307,0.067038,-9.787497,0.001065,0.000000,0.000533,16.68,21.54,30.18,,
1772665908497,-0.047884,0.055067,-9.789890,0.000533,0.001065,0.000000,16.20,21.48,30.12,,
1772665908546,-0.045490,0.064643,-9.787497,0.000000,0.000533,-0.000533,16.14,21.66,30.12,,
1772665908597,-0.038307,0.067038,-9.792285,0.001598,0.000533,0.001065,15.42,21.72,30.30,,
1772665908646,-0.040701,0.059855,-9.792285,-0.000533,-0.001065,0.002131,15.72,21.48,30.60,,
1772665908696,-0.047884,0.057461,-9.794679,0.000533,0.001598,0.000000,16.32,21.42,30.84,,
1772665908746,-0.052672,0.064643,-9.792285,0.000533,-0.000533,0.000000,16.02,21.30,30.90,,
1772665908797,-0.045490,0.059855,-9.797073,0.000533,0.000000,-0.000533,16.20,21.48,31.32,,
1772665908847,-0.045490,0.064643,-9.806650,0.000533,-0.001598,0.000000,15.78,21.18,31.26,,
1772665908897,-0.040701,0.055067,-9.799467,0.000533,-0.001065,0.001065,16.02,21.48,30.96,,
1772665908946,-0.043096,0.064643,-9.782708,0.000000,0.000533,0.000000,15.78,21.66,30.72,,
1772665908996,-0.038307,0.059855,-9.789890,0.000000,0.000000,-0.000533,15.90,21.90,30.36,,
1772665909047,-0.040701,0.055067,-9.797073,0.000000,-0.001598,0.000000,15.66,21.48,31.20,,
1772665909097,-0.047884,0.057461,-9.792285,0.001598,0.000000,-0.000533,15.36,21.30,30.72,,
1772665909146,-0.045490,0.052672,-9.804255,0.000000,-0.001065,-0.000533,15.48,20.88,30.78,,
1772665909196,-0.033519,0.057461,-9.799467,-0.000533,-0.003196,0.000000,15.36,20.94,30.12,,
1772665909246,-0.050278,0.067038,-9.794679,-0.000533,-0.000533,0.001598,15.42,21.18,29.82,,
1772665909296,-0.050278,0.055067,-9.789890,-0.001598,-0.001598,0.000000,15.12,21.48,30.30,,
1772665909347,-0.045490,0.052672,-9.792285,0.000000,-0.001598,-0.000533,15.84,21.48,30.36,,
1772665909397,-0.052672,0.074220,-9.785102,0.001065,-0.001598,0.001065,16.26,21.42,30.42,,
1772665909446,-0.050278,0.057461,-9.792285,-0.000533,0.000000,-0.001065,16.86,21.54,30.48,,
1772665909496,-0.047884,0.055067,-9.789890,0.000000,0.000533,0.001065,16.26,21.66,29.94,,
1772665909547,-0.035913,0.059855,-9.794679,-0.000533,0.000000,0.000533,16.20,21.84,29.70,,
1772665909596,-0.040701,0.057461,-9.804255,0.000533,-0.001065,0.000000,15.78,21.84,29.94,,
1772665909647,-0.021548,0.052672,-9.794679,-0.000533,-0.004261,0.000000,15.54,21.42,30.30,,
1772665909696,-0.035913,0.064643,-9.799467,0.000000,-0.000533,0.000533,15.54,21.36,30.36,,
1772665909746,-0.040701,0.052672,-9.792285,0.000533,-0.001065,0.000533,15.72,21.48,29.94,,
1772665909797,-0.050278,0.062249,-9.799467,0.000000,-0.001065,0.000533,15.96,22.02,29.94,,
1772665909847,-0.040701,0.059855,-9.801862,0.000000,-0.001065,0.000000,16.80,21.66,30.36,,
1772665909896,-0.047884,0.059855,-9.792285,0.000000,-0.000533,0.000533,16.98,21.42,30.36,,
1772665909946,-0.045490,0.057461,-9.794679,0.000000,-0.000533,-0.000533,17.22,20.88,30.66,,
1772665909997,-0.052672,0.057461,-9.794679,0.000533,0.001065,0.000000,17.10,20.76,30.24,,
1772665910046,-0.045490,0.050278,-9.789890,0.001065,0.001065,0.001065,16.20,20.64,30.00,,
1772665910096,-0.033519,0.064643,-9.797073,0.001065,-0.000533,0.001065,15.66,20.64,29.76,,
1772665910147,-0.052672,0.057461,-9.799467,0.000533,0.002131,0.001598,15.42,21.12,29.88,,
1772665910197,-0.050278,0.074220,-9.792285,-0.000533,-0.001065,0.000533,15.60,21.12,30.06,,
1772665910246,-0.043096,0.064643,-9.797073,0.001065,0.000000,0.000000,15.78,21.66,29.46,,
1772665910297,-0.062249,0.057461,-9.804255,0.001065,-0.001065,0.000533,15.78,21.30,29.58,,
1772665910346,-0.043096,0.064643,-9.792285,-0.000533,-0.001598,0.001598,15.90,21.42,30.00,,
1772665910397,-0.043096,0.055067,-9.792285,0.001065,0.000533,-0.000533,15.84,20.94,30.36,,
1772665910447,-0.043096,0.047884,-9.794679,0.000533,0.001065,-0.000533,15.96,20.88,29.70,,
1772665910497,-0.043096,0.069432,-9.789890,0.000000,0.000000,0.000000,15.78,20.58,29.76,,
1772665910546,-0.040701,0.059855,-9.797073,0.002131,-0.001065,0.000533,15.72,20.52,29.46,,
1772665910597,-0.045490,0.067038,-9.787497,0.000533,-0.000533,0.000533,15.78,20.58,29.28,,
1772665910647,-0.045490,0.059855,-9.804255,0.000533,-0.001065,-0.000533,15.84,21.36,29.40,,
1772665910697,-0.043096,0.057461,-9.799467,0.000533,-0.000533,-0.000533,16.14,21.60,29.82,,
1772665910746,-0.045490,0.052672,-9.804255,0.000533,0.000000,0.000533,16.26,21.54,30.12,,
1772665910797,-0.050278,0.059855,-9.797073,0.000533,-0.000533,-0.001065,16.50,21.66,30.18,,
1772665910847,-0.050278,0.062249,-9.799467,-0.001065,0.000533,0.001065,16.68,21.78,30.12,,
1772665910897,-0.050278,0.064643,-9.801862,0.000533,0.002131,0.000000,16.68,21.90,30.00,,
1772665910946,-0.052672,0.064643,-9.785102,0.001065,0.001598,0.000533,16.68,21.66,30.12,,
1772665910997,-0.050278,0.062249,-9.797073,0.001065,-0.001598,0.001065,16.50,21.48,30.00,,
1772665911047,-0.038307,0.064643,-9.799467,-0.000533,0.001065,0.000533,16.08,21.84,29.76,,
1772665911097,-0.045490,0.069432,-9.801862,0.000533,-0.002663,0.000533,15.60,21.66,29.82,,
1772665911146,-0.047884,0.055067,-9.792285,0.000533,0.000000,-0.001065,15.72,21.96,29.88,,
1772665911197,-0.045490,0.059855,-9.801862,0.000000,-0.001598,0.002131,15.96,21.60,29.88,,
